Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",370,001,"Visi sunt oculis insipientium mori illi","Visi sunt oculis insipientium mori illi autem sunt in pace","Comm. plurimorum Martyrum",MI,GrV,,g00038a,5,,
"P-BRs Ms. 034",370,002,"Alleluia Laudate pueri *","Alleluia Laudate pueri *","Comm. plurimorum Martyrum",MI,Al,,g02078,*,,
"P-BRs Ms. 034",370,003,"Qui seminant *","Qui seminant *","Comm. plurimorum Martyrum",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",370,004,"Exsultabunt *","Exsultabunt *","Comm. plurimorum Martyrum",MI,Of,,g01323,*,,
"P-BRs Ms. 034",370,005,"Ego vos elegi de mundo ut","Ego vos elegi de mundo ut eatis et fructum afferatis et fructus vester maneat","Comm. plurimorum Martyrum",MI,Cm,,g00225,1,,
"P-BRs Ms. 034",370,006,"Statuit ei dominus *","Statuit ei dominus *","Comm. unius Confessoris et Episcopi",MI,In,,g01271,*,,
"P-BRs Ms. 034",370,007,"Ecce sacerdos *","Ecce sacerdos *","Comm. unius Confessoris Pontificis",MI,Gr,,g01332,*,,
"P-BRs Ms. 034",370,008,"Alleluia Juravit dominus *","Alleluia Juravit dominus *","Comm. unius Confessoris Pontificis",MI,Al,,g01341,*,,
"P-BRs Ms. 034",370,009,"Beatus vir qui timet dominum in","Beatus vir qui timet dominum in mandatis ejus cupit nimis","Comm. unius Confessoris Pontificis",MI,Tc,,g01285,8,,
"P-BRs Ms. 034",370,010,"Potens in terra erit semen ejus","Potens in terra erit semen ejus generationi rectorum benedicetur","Comm. unius Confessoris Pontificis",MI,TcV,,g01285a,8,,
"P-BRs Ms. 034",371,001,"Inveni David servum meum oleo sancto","Inveni David servum meum oleo sancto unxi eum manus enim mea auxiliabitur ei et brachium meum confortabit eum","Comm. unius Confessoris Pontificis",MI,Of,,g01288,8,,
"P-BRs Ms. 034",371,002,"Fidelis servus et prudens quem constituit","Fidelis servus et prudens quem constituit Dominus super familiam suam ut det illi in tempore tritici mensuram","Comm. unius Confessoris Pontificis",MI,Cm,,g00318,7,,
"P-BRs Ms. 034",371,003,"Sacerdotes tui domine induant justitiam et","Sacerdotes tui domine induant justitiam et sancti tui exsultent propter David servum tuum non avertas faciem christi tui","Comm. unius Confessoris Pontificis",MI,In,,g01338,3,,
"P-BRs Ms. 034",372,001,"Memento domine David et omnis mansuetudinis","Memento domine David et omnis mansuetudinis ejus","Comm. unius Confessoris Pontificis",MI,InV,,g01338a,3,,
"P-BRs Ms. 034",372,002,"Juravit dominus et non paenitebit eum","Juravit dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech","Comm. unius Confessoris Pontificis",MI,Gr,,g02035,3,,
"P-BRs Ms. 034",372,003,"Dixit dominus domino meo sede a","Dixit dominus domino meo sede a dextris meis","Comm. unius Confessoris Pontificis",MI,GrV,,g02035a,3,,
"P-BRs Ms. 034",373,001,"Alleluia Inveni David servum meum oleo","Alleluia Inveni David servum meum oleo sancto meo unxi eum","Comm. unius Confessoris Pontificis",MI,Al,,g00226,2,,
"P-BRs Ms. 034",373,002,"Beatus vir *","Beatus vir *","Comm. unius Confessoris Pontificis",MI,Tc,,g00175,*,,
"P-BRs Ms. 034",373,003,"Veritas mea *","Veritas mea *","Comm. unius Confessoris Pontificis",MI,Of,,g01278,*,,
"P-BRs Ms. 034",373,004,"Domine quinque talenta *","Domine quinque talenta *","Comm. unius Confessoris Pontificis",MI,Cm,,g00012,*,,
